given_class,given_type,url
s-input s-input__search js-search-field ,text,https://stackoverflow.com
,checkbox,https://stackoverflow.com
grid--cell fl-grow1 searchbar px12 js-searchbar ,,https://stackoverflow.com
s-input s-input__search js-search-field ,text,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
,hidden,https://stackoverflow.com/teams/create/free
,hidden,https://stackoverflow.com/teams/create/free
,hidden,https://stackoverflow.com/teams/create/free
grid--cell s-input,text,https://stackoverflow.com/teams/create/free
s-input,email,https://stackoverflow.com/teams/create/free
grid--cell s-input,password,https://stackoverflow.com/teams/create/free
s-checkbox js-record-ga,checkbox,https://stackoverflow.com/teams/create/free
,hidden,https://stackoverflow.com/teams/create/free
,hidden,https://stackoverflow.com/teams/create/free
,hidden,https://stackoverflow.com/teams/create/free
grid fd-column gs12 gsy with-captcha,,https://stackoverflow.com/teams/create/free
s-input s-input__search js-search-field ,text,https://stackoverflow.com/jobs?so_source=ProductsMenu&so_medium=StackOverflow
,hidden,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
,hidden,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
,hidden,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
,hidden,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
s-input s-input__md s-input__search px32 truncate brr0 h100,text,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
s-input s-input__md s-input__search px32 truncate blr0 h100,text,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
,hidden,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
s-checkbox d-block js-submit-on-toggle,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
tag-editor js-tag-editor-field,text,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
tag-editor js-tag-editor-field,text,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
js-salary-field s-input,text,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
s-checkbox ,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
s-checkbox ,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
s-checkbox ,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
 s-checkbox,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
 s-checkbox,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
 s-checkbox,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
 s-checkbox,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
 s-checkbox,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
 s-checkbox,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
 s-checkbox,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
 s-checkbox,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
 s-checkbox,checkbox,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
s-input js-company,text,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
s-input js-company,text,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
grid--cell fl-grow1 searchbar px12 js-searchbar ,,https://stackoverflow.com/jobs?so_medium=StackOverflow&so_source=SiteNav
